ShipName*planet*coord_place*direction*password
LOСА-302*Голевард*70 -52*9 -6*ардСOлоГ
BНВB-560*Угариния*54 -73*-10 -9*нияВНагУ
ЬSТА-367*Жезл Саурона*-35 -13*-7 1*онаТSзеЖ
OADС-556*Шамлария*0 0*-10 4*рияDAмаШ
OFYB-294*Золотая Даль*-42 -3*-3 8*альYFлоЗ
ХPВH-805*Жезл Саурона*-89 62*6 -3*онаВPзеЖ
VСЭT-405*Нейландия*74 -5*8 4*дияЭСйеН
НLЙO-968*Наразиния*-5 1*-2 4*нияЙLраН
БUВУ-873*Тальсария*-17 99*-1 1*рияВUлаТ
СНRO-490*Мирондия*-88 60*-8 5*дияRНриМ
TТДI-935*Беренс*80 -83*4 -3*енсДТреБ
НЦUК-690*Фангорн*94 80*-10 5*орнUЦнаФ
КNPE-304*Халасия*-80 -79*1 -8*сияPNлаХ
ЖКDК-209*Ширифповерье*83 84*8 -5*рьеDКриШ
ЭKFБ-921*Наразиния*0 0*1 -6*нияFKраН
CZЭГ-887*Моргариан*-30 53*6 8*ианЭZроМ
ЪTЬП-320*Валинор*-70 -44*-2 -7*норЬTлаВ
TRYС-982*Арда*-59 77*9 9*рдаYRдрА
WПШЗ-61*Шадирия*-81 -8*-1 3*рияШПдаШ
МЭRU-259*Юэгусия*0 0*5 -6*сияRЭгэЮ
BМVО-810*Золотонос*-8 -96*1 1*носVМлоЗ
ЦLМК-937*Абеллио*-19 -26*-5 -2*лиоМLебА
MAFС-471*Лузия*77 -47*1 8*зияFAзуЛ
BAMS-209*Харад*-75 -81*-6 6*радMAраХ
FAОQ-722*Голевард*10 -77*-9 -5*ардОAлоГ
PШКЬ-178*Хилварика*-41 31*-4 -6*икаКШлиХ
ГEYЪ-555*Гординия*99 -43*3 -6*нияYEроГ
ЫVДQ-284*Острудария*-27 79*2 7*рияДVтсО
GRДA-175*Ясмария*-62 38*-6 -3*рияДRмсЯ
ЮЙНЭ-279*Нимасия*32 34*-8 8*сияНЙмиН
ООТГ-929*Цитрамор*0 17*3 -3*морТОтиЦ
BЭSD-149*Чавланшан*-76 -60*0 4*шанSЭваЧ
ЦLРJ-393*Оладария*18 -83*6 8*рияРLалО
VBЬS-701*Яентарин*-59 -26*-4 4*ринЬBнеЯ
YСGV-462*Утопия*0 -20*9 -8*пияGСотУ
CФOЕ-853*Абеллио*-79 -87*-8 9*лиоOФебА
ЗПФБ-132*Идаллия*-87 -10*-9 -5*лияФПадИ
РCUЛ-201*Ширифповерье*2 -52*-6 -4*рьеUCриШ
ZGГЛ-684*Ривенделл*-24 -63*-9 -7*еллГGвиР
AСBN-655*Шамлария*13 -86*-10 -8*рияBСмаШ
ZTЕC-122*Царкония*75 -29*3 9*нияЕTраЦ
РEШZ-584*Голевард*-39 -74*-1 0*ардШEлоГ
ХЫВH-565*Сирмария*14 43*1 -7*рияВЫриС
YJСУ-431*Саурон*31 -100*-6 -3*ронСJуаС
BЛШБ-897*Праметия*-52 -19*0 -1*тияШЛарП
ФMЭE-210*Фарнслетия*-7 75*-7 6*тияЭMраФ
CVЬЗ-730*Дуин*-55 20*9 -1*уинЬVиуД
ЛITD-778*Цитрамор*46 97*-6 -9*морTIтиЦ
ДВTТ-686*Праметия*29 11*1 -5*тияTВарП
ИФZШ-969*Едор*-97 -64*-6 -7*дорZФодЕ
KЬKШ-824*Цитрамор*-49 -87*-9 0*морKЬтиЦ
ЯЮOУ-188*Ривенделл*0 -61*-6 3*еллOЮвиР
ЧOАИ-270*Южный кошмар*59 41*0 -6*марАOнжЮ
AZBV-274*Фиринция*-51 54*-8 -7*цияBZриФ
LIJЙ-879*Целиндия*-99 -68*-4 -7*дияJIлеЦ
TGЫH-549*Жимрамир*-57 -34*5 8*мирЫGмиЖ
ГKLS-231*Диасурия*30 82*0 -1*рияLKаиД
ЬSBЮ-217*Уриллион*79 14*-4 -10*ионBSирУ
ЬЯJТ-431*Юхусия*-22 24*0 -8*сияJЯухЮ
ЕХXT-899*Арда*30 14*8 -3*рдаXХдрА
БАЩX-551*Гондор*-39 90*1 6*дорЩАноГ
BЖЛЩ-86*Харад*55 83*-3 -4*радЛЖраХ
JQМЩ-656*Юэгусия*-54 25*9 -9*сияМQгэЮ
ОИVА-767*Яскария*51 75*-8 -3*рияVИксЯ
MEЧУ-99*Зуария*88 -26*-4 -7*рияЧEауЗ
ФWДK-369*Лоркиндария*64 -3*-4 0*рияДWроЛ
МCЩT-272*Услилка*25 61*-3 -2*лкаЩCлсУ
ГВЫН-568*Тол-Арда*90 95*5 -3*рдаЫВлоТ
ГЖPЪ-715*Ярость Горы*60 40*8 -2*орыPЖорЯ
ULMЦ-578*Лоркиндария*-56 -51*-4 -3*рияMLроЛ
ФЦЗF-568*Фангорн*77 -17*2 -7*орнЗЦнаФ
ЭAАЭ-816*Мира*-20 37*-6 -1*ираАAриМ
HNОЮ-871*Утопия*-30 86*0 -9*пияОNотУ
ЭRЗЗ-646*Аглатосия*-5 -8*0 -5*сияЗRлгА
ЗЮГТ-740*Праметия*75 96*7 3*тияГЮарП
СЩВA-750*Ясмария*60 11*0 -4*рияВЩмсЯ
KPЫД-433*Сирмария*-30 -81*-10 -7*рияЫPриС
ЪMPД-305*Парадель*4 -91*-8 -10*ельPMраП
АФKO-611*Царкония*-40 -83*-3 -4*нияKФраЦ
UСXД-311*Харантария*-57 -41*-9 5*рияXСраХ
DXБЗ-272*Мира*-92 79*4 2*ираБXриМ
IZNL-84*Моргариан*-79 93*-2 7*ианNZроМ
ЗGQG-473*Ридайя*36 -81*1 -4*айяQGдиР
VOЪЙ-952*Егана*-83 78*-6 1*анаЪOагЕ
HUРS-181*Есендария*-88 79*2 3*рияРUесЕ
ВTWВ-386*Жимрамир*-91 39*9 6*мирWTмиЖ
XГYE-349*Варитор*-20 -1*6 7*торYГраВ
МCSП-434*Гординия*6 -67*-3 6*нияSCроГ
FЬYЗ-289*Руэндария*-73 -93*8 -6*рияYЬэуР
ЯЮHC-766*Зуария*-49 20*4 -5*рияHЮауЗ
ЛFBX-178*Моргариан*41 -2*-8 -2*ианBFроМ
ТLЕV-336*Сиалония*91 2*-4 5*нияЕLаиС
ЩQЧУ-140*Тибулония*0 0*4 -4*нияЧQбиТ
ЫRWГ-326*Королевство Эребора*-23 43*1 -8*ораWRроК
ЫFНP-80*Ендария*60 -46*-7 -9*рияНFднЕ
ТWТJ-576*Парадель*-13 -15*8 1*ельТWраП
УMAE-221*Парадель*82 -63*5 6*ельAMраП
NKФO-769*Мирфоний*50 -92*-4 -5*нийФKриМ
ЙХJК-208*Идаллия*30 -89*-10 -9*лияJХадИ
ЦАKV-491*Гондор*0 0*5 1*дорKАноГ
